"County","FIPS","Year","Measure Type","Variable","Value"
"Connecticut","09","1996","Number","Estimated Population","3274238"
"Connecticut","09","1996","Percent","Estimated Population","100"
"Connecticut","09","1997","Number","Estimated Population","3269858"
"Connecticut","09","1997","Percent","Estimated Population","100"
"Connecticut","09","1998","Number","Estimated Population","3274069"
"Connecticut","09","1998","Percent","Estimated Population","100"
"Connecticut","09","1999","Number","Estimated Population","3282031"
"Connecticut","09","1999","Percent","Estimated Population","100"
"Connecticut","09","2000","Number","Estimated Population","3409549"
"Connecticut","09","2000","Percent","Estimated Population","100"
"Connecticut","09","2001","Number","Estimated Population","3425074"
"Connecticut","09","2001","Percent","Estimated Population","100"
"Connecticut","09","2002","Number","Estimated Population","3460503"
"Connecticut","09","2002","Percent","Estimated Population","100"
"Connecticut","09","2003","Number","Estimated Population","3483390"
"Connecticut","09","2003","Percent","Estimated Population","100"
"Connecticut","09","2004","Number","Estimated Population","3503604"
"Connecticut","09","2004","Percent","Estimated Population","100"
"Connecticut","09","2005","Number","Estimated Population","3510297"
"Connecticut","09","2005","Percent","Estimated Population","100"
"Connecticut","09","2006","Number","Estimated Population","3510787"
"Connecticut","09","2006","Percent","Estimated Population","100"
"Connecticut","09","2007","Number","Estimated Population","3502309"
"Connecticut","09","2007","Percent","Estimated Population","100"
"Connecticut","09","2008","Number","Estimated Population","3501252"
"Connecticut","09","2008","Percent","Estimated Population","100"
"Connecticut","09","2009","Number","Estimated Population","3518288"
"Connecticut","09","2009","Percent","Estimated Population","100"
"Connecticut","09","2010","Number","Estimated Population","3577845"
"Connecticut","09","2010","Percent","Estimated Population","100"
"Connecticut","09","2011","Number","Estimated Population","3580709"
"Connecticut","09","2011","Percent","Estimated Population","100"
"Connecticut","09","2012","Number","Estimated Population","3590347"
"Connecticut","09","2012","Percent","Estimated Population","100"
"Connecticut","09","2013","Number","Estimated Population","3596080"
"Connecticut","09","2013","Percent","Estimated Population","100"
"Connecticut","09","2014","Number","Estimated Population","3596677"
"Connecticut","09","2014","Percent","Estimated Population","100"
"Connecticut","09","2015","Number","Estimated Population","3590886"
"Connecticut","09","2015","Percent","Estimated Population","100"
"Connecticut","09","2016","Number","Estimated Population","3576452"
"Connecticut","09","2016","Percent","Estimated Population","100"
"Connecticut","09","2017","Number","Estimated Population","3588184"
"Connecticut","09","2017","Percent","Estimated Population","100"
"Connecticut","09","2018","Number","Estimated Population","3572665"
"Connecticut","09","2018","Percent","Estimated Population","100"
"Connecticut","09","2019","Number","Estimated Population","3565287"
"Connecticut","09","2019","Percent","Estimated Population","100"
"Fairfield County","09001","1996","Number","Estimated Population","833761"
"Fairfield County","09001","1996","Percent","Estimated Population","25.46"
"Fairfield County","09001","1997","Number","Estimated Population","833315"
"Fairfield County","09001","1997","Percent","Estimated Population","25.48"
"Fairfield County","09001","1998","Number","Estimated Population","838362"
"Fairfield County","09001","1998","Percent","Estimated Population","25.61"
"Fairfield County","09001","1999","Number","Estimated Population","841334"
"Fairfield County","09001","1999","Percent","Estimated Population","25.63"
